Date,wind_generation_actual,wind_capacity,temperature
2/22/2018,261194,43367.375,-2.446
2/23/2018,360330,43399,-3.653
2/24/2018,585218,43399,-4.062
2/25/2018,350782,43399.375,-6.357
2/26/2018,398252,43408.875,-7.201
2/27/2018,337614,43431.75,-8.147
2/28/2018,571612,43495.5,-9.363
3/1/2018,727976,43508.25,-7.523
3/2/2018,528622,43537.5,-6.25
3/3/2018,426261,43549.25,-3.74
3/4/2018,407408,43555.417,0.248
3/5/2018,293805,43565.5,2.719
3/6/2018,137892,43578.167,2.19
3/7/2018,160869,43609.5,2.589
3/8/2018,482952,43714.667,3.514
3/9/2018,357414,43753.125,4.177
3/10/2018,295619,43756,6.869
3/11/2018,243889,43756.25,7.991
3/12/2018,205671,43762.542,6.948
3/13/2018,426653,43776.042,5.238
3/14/2018,155294,43803,3.279
3/15/2018,646695,43872.833,3.615
3/16/2018,589078,43892,2.468
3/17/2018,798877,43892,-1.936
3/18/2018,745651,43894.167,-3.292
3/19/2018,242753,43945.708,-3.117
3/20/2018,338624,43988.125,-1.459
3/21/2018,207313,44064.333,-0.433
3/22/2018,398658,44166.792,0.884
3/23/2018,99297,44231.542,2.431
3/24/2018,70626,44244,3.185
3/25/2018,39301,44249.333,4.472
3/26/2018,62850,44317.417,3.811
3/27/2018,134081,44435.667,3.921
3/28/2018,448007,44610.75,4.91
3/29/2018,344249,44764.917,3.802
3/30/2018,349948,44800.667,5.495
3/31/2018,291433,44841,4.391
4/1/2018,370937,44841,3.144
4/2/2018,243806,44841,5.791
4/3/2018,414041,44841,11.057
4/4/2018,355585,44841,10.74
4/5/2018,638640,44841,7.023
4/6/2018,336817,44841,5.846
4/7/2018,431217,44841,10.275
4/8/2018,160398,44841,12.733
4/9/2018,167152,44841,13.069
4/10/2018,423244,44842.167,12.519
4/11/2018,413064,44855.5,10.764
4/12/2018,477532,44861,12.523
4/13/2018,312741,44861,11.292
4/14/2018,242158,44861,11.378
4/15/2018,65382,44861,12.832
4/16/2018,81003,44861,12.038
4/17/2018,99979,44861.5,13.286
4/18/2018,110034,44867.667,15.236
4/19/2018,206800,44876.417,16.163
4/20/2018,183985,44892,17.344
4/21/2018,87213,44892,15.712
4/22/2018,185255,44893.333,16.944
4/23/2018,392314,44908.417,14.294
4/24/2018,376996,44913,11.912
4/25/2018,525327,44913.5,12.196
4/26/2018,453042,44921.417,8.857
4/27/2018,166315,44948,10.836
4/28/2018,167368,44948,12.766
4/29/2018,230286,44948.667,15.211
4/30/2018,616202,44956,12.784
5/1/2018,556564,44956,8.762
5/2/2018,205695,44956.5,10.756
5/3/2018,186463,44962,11.482
5/4/2018,158183,44962,11.983
5/5/2018,210907,44962,13.105
5/6/2018,232488,44962.417,14.351
5/7/2018,237968,44967,15.444
5/8/2018,308091,44967,16.464
5/9/2018,217018,44967,17.494
5/10/2018,246078,44967.5,14.515
5/11/2018,68851,44973,13.753
5/12/2018,167849,44973,16.567
5/13/2018,334973,44973,16.277
5/14/2018,345478,44974,16.207
5/15/2018,185883,44985.667,14.719
5/16/2018,261642,44993.75,13.819
5/17/2018,399395,45004.917,12.356
5/18/2018,117074,45037,11.795
5/19/2018,62943,45037,12.728
5/20/2018,276301,45037,14.405
5/21/2018,381295,45037.083,16.222
5/22/2018,166440,45039,16.913
5/23/2018,251241,45050.583,16.962
5/24/2018,341783,45058.75,16.986
5/25/2018,256954,45078.75,18.2
5/26/2018,128442,45087,19.28
5/27/2018,175478,45088.583,19.627
5/28/2018,177523,45106.667,21.321
5/29/2018,284520,45115.25,21.275
5/30/2018,102768,45130.25,21.133
5/31/2018,122405,45145.333,21.668
6/1/2018,130080,45160,19.621
6/2/2018,102280,45160,18.299
6/3/2018,50282,45161.083,19.161
6/4/2018,119869,45175.25,19.719
6/5/2018,101162,45202.583,18.802
6/6/2018,217474,45232.667,19.446
6/7/2018,129058,45251.667,20.312
6/8/2018,80923,45259.667,20.752
6/9/2018,83637,45267,21.18
6/10/2018,112464,45270.5,20.156
6/11/2018,186893,45310.917,18.625
6/12/2018,218306,45336,16.129
6/13/2018,214736,45383.333,14.114
6/14/2018,208822,45424,15.773
6/15/2018,36661,45469.75,17.382
6/16/2018,71934,45489,19.026
6/17/2018,211532,45495.167,17.317
6/18/2018,204361,45565.5,17.522
6/19/2018,201530,45595.75,18.839
6/20/2018,196791,45628.75,21.287
6/21/2018,524114,45667.25,16.689
6/22/2018,573718,45758,12.433
6/23/2018,466822,45758,13.114
6/24/2018,226841,45760.917,14.013
6/25/2018,197642,45794.667,15.93
6/26/2018,94463,45816.333,16.763
6/27/2018,143649,45859.083,17.965
6/28/2018,206433,45935.333,18.94
6/29/2018,201327,46040.333,20.404
6/30/2018,250023,46066.583,19.301
7/1/2018,279723,46073,17.408
7/2/2018,140805,46073,18.044
